<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>;ATR;IATR;0.2815;0.2102;0.1782;0.1598;0.1704
20240604;000000;0.10246;0.10578;0.10064;0.10482;3726250000;0.00514;0.005716858;;;;;
20240605;000000;0.10508;0.10674;0.10202;0.1036;2389160000;0.00472;0.00528437;;;;;
20240606;000000;0.104;0.105;0.10216;0.10326;1492860000;0.00284;0.005097308;;;;;
20240607;000000;0.10366;0.1094;0.1028;0.10772;4160420000;0.0066;0.004684692;;;;;
20240610;000000;0.1083;0.1094;0.103;0.10456;2852920000;0.0064;0.00509544;;;;;
20240611;000000;0.10422;0.10592;0.1006;0.10212;3987190000;0.00532;0.00532512;;;;;
20240613;000000;0.09882;0.10378;0.094;0.1031;4026060000;0.00978;0.0052771;;;;;
20240614;000000;0.1035;0.10868;0.103;0.1075;4050510000;0.00568;0.00655043;;;;;
20240617;000000;0.10826;0.10856;0.1055;0.10648;2828160000;0.00306;0.00675006;;;;;
20240618;000000;0.1062;0.1066;0.1038;0.10426;2801880000;0.0028;0.005738818;;;;;
20240619;000000;0.10426;0.105;0.09958;0.10122;3417160000;0.00542;0.00491296;;;;;
20240620;000000;0.10178;0.107;0.101;0.10506;3623830000;0.006;0.005233758;;;;;
20240621;000000;0.10546;0.10662;0.1037;0.10438;1196590000;0.00292;0.004784104;;;;;
20240624;000000;0.10438;0.1055;0.10396;0.1042;1166030000;0.00154;0.004017888;;;;;
20240625;000000;0.1044;0.1083;0.10386;0.1065;1737300000;0.00444;0.00345973;;;;;
20240626;000000;0.10708;0.109;0.10406;0.1059;2592970000;0.00494;0.00397628;;;;;
20240627;000000;0.10596;0.10598;0.10422;0.10516;1227340000;0.00176;0.004087342;;;;;
20240628;000000;0.10516;0.10824;0.105;0.10502;1278280000;0.00324;0.003068696;;;;;
20240701;000000;0.1052;0.1063;0.10438;0.10624;1348390000;0.00192;0.003134248;;;;;
20240702;000000;0.1063;0.10842;0.1052;0.10732;1896780000;0.00322;0.003081148;;;;;
20240703;000000;0.10736;0.10778;0.1042;0.10468;1844850000;0.00358;0.003010406;;;;;
