<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>;ATR
20240917;000000;1336;1348.4;1301;1324.6;377082;47.4
20240918;000000;1327;1330;1270.2;1281.6;275492;59.8
20240919;000000;1285;1305;1265;1287.8;164432;40
20240920;000000;1294.8;1359.4;1289;1329.6;833599;70.4
20240923;000000;1337.4;1373;1328.2;1365;480299;44.8
20240924;000000;1372;1380;1333.8;1355;276993;46.2
20240925;000000;1355;1357.8;1301.6;1315;242825;56.2
20240926;000000;1304;1335.4;1291.8;1308.6;120905;43.6
20240927;000000;1315.6;1324.8;1306.8;1317;95000;18
20240930;000000;1321.8;1339.8;1300;1302.8;153065;39.8
20241001;000000;1299.6;1322;1255;1270.8;164115;67
20241002;000000;1277;1296;1227.6;1234;151706;68.4
20241003;000000;1235.6;1249;1208.2;1245;190645;40.8
20241004;000000;1249.8;1291;1239;1270;278148;52
20241007;000000;1274;1278.2;1245;1251.2;121851;33.2
20241008;000000;1250;1286;1242;1267.2;136927;44
20241009;000000;1274.2;1309.8;1260;1306;522274;49.8
20241010;000000;1313;1333;1301.8;1318.2;503498;31.2
20241011;000000;1321.8;1328;1292;1299;169536;36
20241014;000000;1304.8;1368;1274;1349;664795;94
20241015;000000;1351;1374;1346.4;1373;597932;27.6
20241016;000000;1380.6;1383.8;1328.8;1379.8;1075061;55
20241017;000000;1385;1436.6;1350;1397.4;906492;86.6
20241018;000000;1421;1434.8;1362.8;1364.8;592398;72
20241021;000000;1364.8;1376.8;1356.2;1362.8;130904;20.6
20241022;000000;1369;1375;1341;1362.4;164259;34
20241023;000000;1362.8;1383.2;1351.6;1361.4;203274;31.6
20241024;000000;1363.6;1379.8;1356.2;1370.8;147278;23.6
20241025;000000;1375.8;1380.6;1312.8;1343.2;272862;67.8
20241028;000000;1333;1333.6;1253.4;1281.6;214543;80.2
20241029;000000;1281.2;1312.6;1273.4;1301.4;163822;39.2
20241030;000000;1305;1324.4;1280;1283.2;124179;44.4
20241031;000000;1283.2;1298.2;1270;1281.8;80681;28.2
20241101;000000;1284.4;1325.6;1280.8;1324.8;229241;44.8
20241102;000000;1325.6;1328.8;1305;1314.8;111337;23.8
20241105;000000;1322;1371;1310;1351.6;193580;61
20241106;000000;1410;1500;1395.8;1500;1552093;104.2
20241107;000000;1500;1500;1458.2;1482.8;513064;41.8
20241108;000000;1495;1513.8;1475.2;1497.8;371437;38.6
20241111;000000;1510;1531;1496;1505.8;344388;35
20241112;000000;1513.2;1513.2;1480;1486.8;205372;33.2
20241113;000000;1487.4;1494;1459.8;1475.8;165019;34.2
20241114;000000;1479;1493;1465.2;1474.4;124668;27.8
20241115;000000;1483.8;1487.8;1461.2;1482.2;172203;26.6
20241118;000000;1462.8;1480;1400;1468.4;176054;80
20241119;000000;1477.4;1498;1440;1464.4;219551;58
