<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>;ATR
20241018;000000;13.64;13.64;13.285;13.36;10822400;0.355
20241021;000000;13.41;13.44;13.255;13.325;6158100;0.185
20241022;000000;13.365;13.42;13.12;13.17;7678100;0.3
20241023;000000;13.19;13.2;12.8;12.875;22826400;0.4
20241024;000000;12.885;13.045;12.625;12.965;19532500;0.42
20241025;000000;12.945;13.005;12.33;12.5;39698500;0.675
20241028;000000;12.32;12.925;12.075;12.27;81588700;0.85
20241029;000000;12.245;12.73;12.125;12.695;53868700;0.605
20241030;000000;12.795;12.94;12.36;12.465;21586100;0.58
20241031;000000;12.35;12.545;12.17;12.31;21616400;0.375
20241101;000000;12.3;12.45;12.16;12.31;16001600;0.29
20241102;000000;12.35;12.385;12.19;12.35;11180300;0.195
20241105;000000;12.375;12.75;12.225;12.695;26398200;0.525
20241106;000000;12.94;13.19;12.61;12.835;46959800;0.58
20241107;000000;12.8;13.09;12.335;13.08;40777600;0.755
20241108;000000;13.18;13.31;12.85;13.28;40464700;0.46
20241111;000000;13.51;13.795;13.3;13.59;63026800;0.495
20241112;000000;13.57;13.785;13.05;13.115;44319300;0.735
20241113;000000;13.17;13.4;13.075;13.14;24667300;0.325
20241114;000000;13.165;13.33;12.835;13.205;34285400;0.495
20241115;000000;12.94;13.68;12.935;13.67;66179800;0.745
20241118;000000;13.425;14.325;13.29;14.15;119960900;1.035
20241119;000000;14.16;14.245;13.79;14.1;69146800;0.455
